"playDispNm","playPos","sum(GP)","sum(playMin)","sum(playPTS)","sum(playAST)","sum(playTO)","sum(playSTL)","sum(playBLK)","sum(playFGA)","sum(playFGM)","sum(play3PA)","sum(play3PM)","sum(playFTA)","sum(playFTM)","sum(playTRB)","sum(TotPoss)","TotGP","playMPG","playPTS.36","playAST.36","playTO.36","playSTL.36","playBLK.36","playFGA.36","playFGM.36","playFGp.36","play3PA.36","play3PM.36","play3Pp.36","playFTA.36","playFTM.36","playFTp.36","playTRB.36","playTotPoss.36"
"Aaron Brooks","PG",22,181,73,19,10,6,0,67,27,30,11,11,8,16,68.6447824872168,22,296.181818181818,14.5193370165746,3.77900552486188,1.98895027624309,1.19337016574586,0,13.3259668508287,5.37016574585635,0.402985074626866,5.96685082872928,2.1878453038674,0.366666666666667,2.1878453038674,1.59116022099448,0.727272727272727,3.18232044198895,13.6531059090597
"Aaron Gordon","PF",58,1915,1022,136,107,58,45,866,375,342,115,225,157,458,923.327322167051,58,1188.62068965517,19.2125326370757,2.55665796344648,2.01148825065274,1.09033942558747,0.845953002610966,16.2798955613577,7.04960835509138,0.433025404157044,6.42924281984334,2.16187989556136,0.33625730994152,4.22976501305483,2.95143603133159,0.697777777777778,8.60992167101828,17.3575893462213
"Abdel Nader","SF",46,521,146,26,34,15,10,149,50,65,23,39,23,71,170.006598611615,46,407.739130434783,10.0882917466411,1.79654510556622,2.34932821497121,1.03646833013436,0.690978886756238,10.2955854126679,3.45489443378119,0.335570469798658,4.49136276391555,1.58925143953935,0.353846153846154,2.69481765834933,1.58925143953935,0.58974358974359,4.90595009596929,11.7470970249868
"Al Horford","PF",66,2077,836,315,117,39,73,688,336,204,88,98,76,477,800.327822504615,66,1132.90909090909,14.4901299951854,5.45979778526721,2.02792489167068,0.675974963890226,1.26528647087145,11.9248916706789,5.82378430428503,0.488372093023256,3.53586904188734,1.52527684159846,0.431372549019608,1.69860375541647,1.31728454501685,0.775510204081633,8.26769378911892,13.871835151741
"Al Jefferson","C",34,478,252,30,21,16,23,208,111,3,0,36,30,142,200.930558042584,34,506.117647058824,18.979079497908,2.25941422594142,1.581589958159,1.20502092050209,1.73221757322176,15.6652719665272,8.35983263598326,0.533653846153846,0.225941422594142,0,0,2.71129707112971,2.25941422594142,0.833333333333333,10.6945606694561,15.1328453755921
"Al-Farouq Aminu","PF",63,1895,581,73,74,73,31,536,208,318,114,72,51,472,556.152394582319,63,1082.85714285714,11.0374670184697,1.3868073878628,1.40580474934037,1.3868073878628,0.588918205804749,10.1825857519789,3.95145118733509,0.388059701492537,6.04116094986807,2.16569920844327,0.358490566037736,1.36781002638522,0.968865435356201,0.708333333333333,8.96675461741425,10.5654280764979
"Alec Burks","SG",64,1060,494,67,60,38,8,414,170,142,47,124,107,192,447.961807045319,64,596.25,16.777358490566,2.27547169811321,2.0377358490566,1.29056603773585,0.271698113207547,14.0603773584906,5.77358490566038,0.410628019323671,4.82264150943396,1.59622641509434,0.330985915492958,4.21132075471698,3.63396226415094,0.862903225806452,6.52075471698113,15.2137972204071
"Alec Peters","PF",19,223,82,12,4,2,2,74,28,58,18,10,8,36,67.9523784937917,19,422.526315789474,13.237668161435,1.9372197309417,0.645739910313901,0.322869955156951,0.322869955156951,11.9461883408072,4.52017937219731,0.378378378378378,9.36322869955157,2.90582959641256,0.310344827586207,1.61434977578475,1.2914798206278,0.8,5.81165919282511,10.9698906985493
"Álex Abrines","SG",74,1134,353,28,25,38,8,291,115,221,84,46,39,113,261.918010049195,74,551.675675675676,11.2063492063492,0.888888888888889,0.793650793650794,1.20634920634921,0.253968253968254,9.23809523809524,3.65079365079365,0.395189003436426,7.01587301587302,2.66666666666667,0.380090497737557,1.46031746031746,1.23809523809524,0.847826086956522,3.58730158730159,8.31485746187922
"Alex Caruso","SG",36,562,134,75,41,24,9,116,50,43,13,30,21,65,161.744169017223,36,562,8.58362989323843,4.80427046263345,2.62633451957295,1.5373665480427,0.576512455516014,7.43060498220641,3.20284697508897,0.431034482758621,2.75444839857651,0.832740213523132,0.302325581395349,1.92170818505338,1.34519572953737,0.7,4.16370106761566,10.3608364495018
"Alex Len","C",69,1395,587,82,78,27,60,378,214,3,1,231,158,519,518.560031363859,69,727.826086956522,15.1483870967742,2.11612903225806,2.01290322580645,0.696774193548387,1.54838709677419,9.75483870967742,5.52258064516129,0.566137566137566,0.0774193548387097,0.0258064516129032,0.333333333333333,5.96129032258064,4.07741935483871,0.683982683982684,13.3935483870968,13.382194357777
